[Epoch 126] Train-acc: 0.989 | loss: 0.765 | Val-acc: 0.805 | time: 43.7 
[Epoch 127] Train-acc: 0.982 | loss: 0.473 | Val-acc: 0.854 | time: 44.1 0.8381374722838137
[Epoch 128] Train-acc: 0.993 | loss: 0.412 | Val-acc: 0.780 | time: 44.6 
[Epoch 129] Train-acc: 0.964 | loss: 0.867 | Val-acc: 0.732 | time: 43.4 
[Epoch 130] Train-acc: 0.982 | loss: 0.392 | Val-acc: 0.854 | time: 43.9 0.8381374722838137
[Epoch 131] Train-acc: 0.996 | loss: 0.195 | Val-acc: 0.780 | time: 30.3 
[Epoch 132] Train-acc: 0.985 | loss: 0.739 | Val-acc: 0.780 | time: 11.2 
[Epoch 133] Train-acc: 0.985 | loss: 0.460 | Val-acc: 0.854 | time: 13.9 0.8412416851441241
[Epoch 134] Train-acc: 0.975 | loss: 0.593 | Val-acc: 0.683 | time: 31.7 
[Epoch 135] Train-acc: 0.989 | loss: 0.387 | Val-acc: 0.756 | time: 44.2 
[Epoch 136] Train-acc: 0.989 | loss: 0.298 | Val-acc: 0.805 | time: 45.7 
[Epoch 137] Train-acc: 0.975 | loss: 1.083 | Val-acc: 0.854 | time: 45.2 0.8319290465631929
[Epoch 138] Train-acc: 0.982 | loss: 0.694 | Val-acc: 0.707 | time: 43.8 
[Epoch 139] Train-acc: 0.985 | loss: 0.476 | Val-acc: 0.707 | time: 46.4 
[Epoch 140] Train-acc: 0.967 | loss: 0.574 | Val-acc: 0.756 | time: 37.8 
[Epoch 141] Train-acc: 0.971 | loss: 1.122 | Val-acc: 0.780 | time: 21.3 
[Epoch 142] Train-acc: 0.978 | loss: 0.839 | Val-acc: 0.756 | time: 13.8 
[Epoch 143] Train-acc: 0.956 | loss: 1.532 | Val-acc: 0.707 | time: 37.4 
[Epoch 144] Train-acc: 0.985 | loss: 0.289 | Val-acc: 0.707 | time: 46.5 
[Epoch 145] Train-acc: 0.971 | loss: 0.806 | Val-acc: 0.707 | time: 46.3 
[Epoch 146] Train-acc: 0.982 | loss: 0.676 | Val-acc: 0.780 | time: 46.0 
[Epoch 147] Train-acc: 0.993 | loss: 0.214 | Val-acc: 0.756 | time: 43.3 
[Epoch 148] Train-acc: 0.982 | loss: 0.302 | Val-acc: 0.756 | time: 44.3 
[Epoch 149] Train-acc: 0.975 | loss: 1.042 | Val-acc: 0.805 | time: 33.0 
[Epoch 150] Train-acc: 0.982 | loss: 0.290 | Val-acc: 0.683 | time: 18.9 
[Epoch 151] Train-acc: 0.989 | loss: 0.307 | Val-acc: 0.780 | time: 15.1 
[Epoch 152] Train-acc: 0.978 | loss: 0.739 | Val-acc: 0.683 | time: 29.5 
[Epoch 153] Train-acc: 0.985 | loss: 0.398 | Val-acc: 0.756 | time: 45.0 
[Epoch 154] Train-acc: 0.985 | loss: 1.152 | Val-acc: 0.707 | time: 44.0 
